val_metric,test_metric,test_acc,test_f1,test_bacc,epochs,time_s,architecture,task,task_type,test_mae,test_rmse
0.9699723271427291,0.9580668739757927,,,,71,176.56635069847107,SqueezeExcite_128x2,wind_forecasting,regression,0.03178965110926837,0.05269050859989257
0.9697884747546323,0.9573235674147833,,,,55,157.15644454956055,SqueezeExcite_64x3,wind_forecasting,regression,0.03328283587542452,0.05315545320689364
0.9703256843076266,0.9593474917794286,,,,83,371.77099227905273,MultiScale_128x2,wind_forecasting,regression,0.03364769383531622,0.051879698576671844
0.9701873611500917,0.957656693907313,,,,89,484.5994348526001,MultiScale_64x3,wind_forecasting,regression,0.03149536584593152,0.05294758460458539
0.9967234906530562,0.9964715625003292,,,,87,414.42227840423584,FeatureCross_128x2,energy_forecasting,regression,0.00610795796718221,0.00828879708879792
0.9969536503227447,0.9961194573469164,,,,141,782.5463457107544,FeatureCross_64x3,energy_forecasting,regression,0.006412861290716034,0.008692536527122844
0.9936664814361118,0.9932267075824087,,,,77,238.75913500785828,SqueezeExcite_128x2,energy_forecasting,regression,0.008485138912477817,0.011484185697581873
0.9951714720507961,0.9948924641179379,,,,67,238.34508681297302,SqueezeExcite_64x3,energy_forecasting,regression,0.007274049385827743,0.009972545049005965
0.9940931803100568,0.9938091775150861,,,,77,430.6654784679413,MultiScale_128x2,energy_forecasting,regression,0.008481207706153572,0.010979295381353612
0.9933934330513309,0.9929890565972324,,,,56,382.34954380989075,MultiScale_64x3,energy_forecasting,regression,0.009176392111376918,0.011683918642703345
0.8375589552445453,0.8359442268523473,0.7437919463087248,0.7378540772532188,0.7444691798836087,28,260.847106218338,FeatureCross_128x2,anomaly_employee,binary,,
0.8390597885239377,0.8355608773999659,0.7463926174496645,0.7375184509854997,0.7465281399295909,29,312.6285517215729,FeatureCross_64x3,anomaly_employee,binary,,
0.8383928298993593,0.8332110859316832,0.7359060402684564,0.7443560175410102,0.7393000224402433,26,160.43153738975525,SqueezeExcite_128x2,anomaly_employee,binary,,
0.8392034452209411,0.8372735121373722,0.7457214765100671,0.7203616569794261,0.743061980222786,34,235.5091588497162,SqueezeExcite_64x3,anomaly_employee,binary,,
0.8381980467627683,0.8353005654986453,0.7449664429530202,0.7300657076895756,0.7440479173693353,29,316.8810911178589,MultiScale_128x2,anomaly_employee,binary,,
0.8390048920881581,0.8378674364076467,0.7462248322147651,0.7197776748494673,0.7433852642101599,32,419.5139946937561,MultiScale_64x3,anomaly_employee,binary,,
0.953080308030803,0.9396258503401361,0.8739495798319328,0.8828125,0.8725198412698413,38,7.072542428970337,FeatureCross_128x2,anomaly_heart,binary,,
0.9482948294829483,0.9348781179138322,0.865546218487395,0.875968992248062,0.8635912698412699,22,5.169948577880859,FeatureCross_64x3,anomaly_heart,binary,,
0.9557755775577558,0.9462159863945578,0.8949579831932774,0.8995983935742972,0.8953373015873016,25,3.3137340545654297,SqueezeExcite_128x2,anomaly_heart,binary,,
0.963146314631463,0.9238236961451247,0.8739495798319328,0.8809523809523809,0.8735119047619048,28,4.133059740066528,SqueezeExcite_64x3,anomaly_heart,binary,,
0.9497249724972497,0.9389880952380952,0.8949579831932774,0.9042145593869731,0.8923611111111112,24,5.3439109325408936,MultiScale_128x2,anomaly_heart,binary,,
0.9526952695269527,0.9301303854875282,0.8823529411764706,0.8914728682170543,0.8804563492063492,44,11.614219903945923,MultiScale_64x3,anomaly_heart,binary,,
0.9953164859693877,0.9999744897959183,0.9976923076923077,0.9953198127925117,0.9974170918367347,53,53.14413332939148,FeatureCross_128x2,anomaly_wine,binary,,
0.9941256776147959,0.9978475765306122,0.9938461538461538,0.9875389408099688,0.9927614795918367,20,24.056456804275513,FeatureCross_64x3,anomaly_wine,binary,,
0.9953613281249999,0.9972735969387755,0.9953846153846154,0.9905956112852664,0.9927295918367347,20,13.490058660507202,SqueezeExcite_128x2,anomaly_wine,binary,,
0.9958097496811225,0.9997640306122448,0.9953846153846154,0.9906832298136646,0.9958864795918367,42,31.613107204437256,SqueezeExcite_64x3,anomaly_wine,binary,,
0.9955705915178571,0.9994738520408163,0.9976923076923077,0.9953051643192489,0.9963647959183674,24,29.041524410247803,MultiScale_128x2,anomaly_wine,binary,,
0.9958844866071428,0.9999075255102042,0.9976923076923077,0.9953051643192489,0.9963647959183674,20,29.034015417099,MultiScale_64x3,anomaly_wine,binary,,
